group,variable,value
BE,2013,69.3
BE,2015,70.2
BE,2017,70.5
BE,2019,71.1
BE,2020,71.4
BE,2021,72.7
BE,2022,74.2
BE,2023,76.0
BG,2013,55.0
BG,2015,56.9
BG,2017,58.0
BG,2019,58.8
BG,2020,59.6
BG,2021,59.9
BG,2022,60.7
BG,2023,65.1
CZ,2013,55.6
CZ,2015,56.7
CZ,2017,53.6
CZ,2019,55.7
CZ,2020,56.2
CZ,2021,56.7
CZ,2022,57.2
CZ,2023,57.9
DK,2013,75.2
DK,2015,75.6
DK,2017,76.8
DK,2019,77.5
DK,2020,77.4
DK,2021,77.8
DK,2022,77.8
DK,2023,77.8
DE,2013,62.6
DE,2015,64.9
DE,2017,65.5
DE,2019,66.9
DE,2020,67.5
DE,2021,68.6
DE,2022,68.7
DE,2023,70.8
EE,2013,53.4
EE,2015,53.5
EE,2017,56.7
EE,2019,59.8
EE,2020,60.7
EE,2021,61.6
EE,2022,61.0
EE,2023,60.2
IE,2013,65.4
IE,2015,67.7
IE,2017,69.5
IE,2019,71.3
IE,2020,72.2
IE,2021,73.1
IE,2022,74.3
IE,2023,73.0
EL,2013,48.6
EL,2015,50.1
EL,2017,50.0
EL,2019,51.2
EL,2020,52.2
EL,2021,52.5
EL,2022,53.4
EL,2023,58.0
ES,2013,66.4
ES,2015,67.4
ES,2017,68.3
ES,2019,70.1
ES,2020,72.0
ES,2021,73.7
ES,2022,74.6
ES,2023,76.4
FR,2013,67.5
FR,2015,68.9
FR,2017,72.6
FR,2019,74.6
FR,2020,75.1
FR,2021,75.5
FR,2022,75.1
FR,2023,75.7
HR,2013,52.3
HR,2015,52.6
HR,2017,53.1
HR,2019,55.6
HR,2020,57.9
HR,2021,59.2
HR,2022,60.7
HR,2023,60.7
IT,2013,53.3
IT,2015,56.5
IT,2017,62.1
IT,2019,63.0
IT,2020,63.5
IT,2021,63.8
IT,2022,65.0
IT,2023,68.2
CY,2013,49.0
CY,2015,50.6
CY,2017,55.1
CY,2019,56.3
CY,2020,56.9
CY,2021,57.0
CY,2022,57.3
CY,2023,60.7
LV,2013,55.2
LV,2015,56.2
LV,2017,57.9
LV,2019,59.7
LV,2020,60.8
LV,2021,62.1
LV,2022,61.4
LV,2023,61.5
LT,2013,54.9
LT,2015,54.2
LT,2017,56.8
LT,2019,55.5
LT,2020,56.3
LT,2021,58.4
LT,2022,60.6
LT,2023,64.1
LU,2013,61.2
LU,2015,65.9
LU,2017,69.0
LU,2019,69.2
LU,2020,70.3
LU,2021,72.4
LU,2022,73.5
LU,2023,74.7
HU,2013,52.4
HU,2015,51.8
HU,2017,50.8
HU,2019,51.9
HU,2020,53.0
HU,2021,53.4
HU,2022,54.2
HU,2023,57.3
MT,2013,54.4
MT,2015,57.8
MT,2017,60.1
MT,2019,62.5
MT,2020,63.4
MT,2021,65.0
MT,2022,65.6
MT,2023,67.8
NL,2013,74.0
NL,2015,74.0
NL,2017,72.9
NL,2019,72.1
NL,2020,74.1
NL,2021,75.9
NL,2022,77.3
NL,2023,77.9
AT,2013,58.7
AT,2015,61.3
AT,2017,63.3
AT,2019,65.3
AT,2020,66.5
AT,2021,68.0
AT,2022,68.8
AT,2023,71.2
PL,2013,55.5
PL,2015,56.9
PL,2017,56.8
PL,2019,55.2
PL,2020,55.8
PL,2021,56.6
PL,2022,57.7
PL,2023,61.9
PT,2013,53.7
PT,2015,54.4
PT,2017,56.0
PT,2019,59.9
PT,2020,61.3
PT,2021,62.2
PT,2022,62.8
PT,2023,67.4
RO,2013,50.8
RO,2015,51.2
RO,2017,52.4
RO,2019,54.5
RO,2020,54.4
RO,2021,54.5
RO,2022,53.7
RO,2023,56.1
SI,2013,62.7
SI,2015,66.1
SI,2017,68.4
SI,2019,68.3
SI,2020,67.7
SI,2021,67.6
SI,2022,67.5
SI,2023,69.4
SK,2013,53.0
SK,2015,52.4
SK,2017,52.4
SK,2019,54.1
SK,2020,55.5
SK,2021,56.0
SK,2022,56.0
SK,2023,59.2
FI,2013,73.1
FI,2015,74.4
FI,2017,73.0
FI,2019,73.4
FI,2020,74.7
FI,2021,75.3
FI,2022,75.4
FI,2023,74.4
SE,2013,80.1
SE,2015,79.7
SE,2017,82.6
SE,2019,83.6
SE,2020,83.8
SE,2021,83.9
SE,2022,83.9
SE,2023,82.2
