    group  variable  value
0      BE  1-1-2013   69.3
1      BE  1-6-2013   69.8
2      BE  1-1-2015   70.2
3      BE  1-6-2015   70.4
4      BE  1-1-2017   70.5
5      BE  1-6-2017   70.8
6      BE  1-1-2019   71.1
7      BE  1-6-2019   71.2
8      BE  1-1-2020   71.4
9      BE  1-6-2020   72.1
10     BE  1-1-2021   72.7
11     BE  1-6-2021   73.4
12     BE  1-1-2022   74.2
13     BE  1-6-2022   75.1
14     BE  1-1-2023   76.0
15     BE  1-6-2023   75.1
16     BG  1-1-2013   55.0
17     BG  1-6-2013   56.0
18     BG  1-1-2015   56.9
19     BG  1-6-2015   57.4
20     BG  1-1-2017   58.0
21     BG  1-6-2017   58.4
22     BG  1-1-2019   58.8
23     BG  1-6-2019   59.2
24     BG  1-1-2020   59.6
25     BG  1-6-2020   59.8
26     BG  1-1-2021   59.9
27     BG  1-6-2021   60.3
28     BG  1-1-2022   60.7
29     BG  1-6-2022   62.9
30     BG  1-1-2023   65.1
31     BG  1-6-2023   62.9
32     CZ  1-1-2013   55.6
33     CZ  1-6-2013   56.2
34     CZ  1-1-2015   56.7
35     CZ  1-6-2015   55.2
36     CZ  1-1-2017   53.6
37     CZ  1-6-2017   54.6
38     CZ  1-1-2019   55.7
39     CZ  1-6-2019   56.0
40     CZ  1-1-2020   56.2
41     CZ  1-6-2020   56.4
42     CZ  1-1-2021   56.7
43     CZ  1-6-2021   57.0
44     CZ  1-1-2022   57.2
45     CZ  1-6-2022   57.6
46     CZ  1-1-2023   57.9
47     CZ  1-6-2023   57.6
48     DK  1-1-2013   75.2
49     DK  1-6-2013   75.4
50     DK  1-1-2015   75.6
51     DK  1-6-2015   76.2
52     DK  1-1-2017   76.8
53     DK  1-6-2017   77.2
54     DK  1-1-2019   77.5
55     DK  1-6-2019   77.4
56     DK  1-1-2020   77.4
57     DK  1-6-2020   77.6
58     DK  1-1-2021   77.8
59     DK  1-6-2021   77.8
60     DK  1-1-2022   77.8
61     DK  1-6-2022   77.8
62     DK  1-1-2023   77.8
63     DK  1-6-2023   77.8
64     DE  1-1-2013   62.6
65     DE  1-6-2013   63.8
66     DE  1-1-2015   64.9
67     DE  1-6-2015   65.2
68     DE  1-1-2017   65.5
69     DE  1-6-2017   66.2
70     DE  1-1-2019   66.9
71     DE  1-6-2019   67.2
72     DE  1-1-2020   67.5
73     DE  1-6-2020   68.0
74     DE  1-1-2021   68.6
75     DE  1-6-2021   68.6
76     DE  1-1-2022   68.7
77     DE  1-6-2022   69.8
78     DE  1-1-2023   70.8
79     DE  1-6-2023   69.8
80     EE  1-1-2013   53.4
81     EE  1-6-2013   53.4
82     EE  1-1-2015   53.5
83     EE  1-6-2015   55.1
84     EE  1-1-2017   56.7
85     EE  1-6-2017   58.2
86     EE  1-1-2019   59.8
87     EE  1-6-2019   60.2
88     EE  1-1-2020   60.7
89     EE  1-6-2020   61.2
90     EE  1-1-2021   61.6
91     EE  1-6-2021   61.3
92     EE  1-1-2022   61.0
93     EE  1-6-2022   60.6
94     EE  1-1-2023   60.2
95     EE  1-6-2023   60.6
96     IE  1-1-2013   65.4
97     IE  1-6-2013   66.6
98     IE  1-1-2015   67.7
99     IE  1-6-2015   68.6
100    IE  1-1-2017   69.5
101    IE  1-6-2017   70.4
102    IE  1-1-2019   71.3
103    IE  1-6-2019   71.8
104    IE  1-1-2020   72.2
105    IE  1-6-2020   72.6
106    IE  1-1-2021   73.1
107    IE  1-6-2021   73.7
108    IE  1-1-2022   74.3
109    IE  1-6-2022   73.6
110    IE  1-1-2023   73.0
111    IE  1-6-2023   73.6
112    EL  1-1-2013   48.6
113    EL  1-6-2013   49.4
114    EL  1-1-2015   50.1
115    EL  1-6-2015   50.0
116    EL  1-1-2017   50.0
117    EL  1-6-2017   50.6
118    EL  1-1-2019   51.2
119    EL  1-6-2019   51.7
120    EL  1-1-2020   52.2
121    EL  1-6-2020   52.4
122    EL  1-1-2021   52.5
123    EL  1-6-2021   53.0
124    EL  1-1-2022   53.4
125    EL  1-6-2022   55.7
126    EL  1-1-2023   58.0
127    EL  1-6-2023   55.7
128    ES  1-1-2013   66.4
129    ES  1-6-2013   66.9
130    ES  1-1-2015   67.4
131    ES  1-6-2015   67.8
132    ES  1-1-2017   68.3
133    ES  1-6-2017   69.2
134    ES  1-1-2019   70.1
135    ES  1-6-2019   71.0
136    ES  1-1-2020   72.0
137    ES  1-6-2020   72.8
138    ES  1-1-2021   73.7
139    ES  1-6-2021   74.2
140    ES  1-1-2022   74.6
141    ES  1-6-2022   75.5
142    ES  1-1-2023   76.4
143    ES  1-6-2023   75.5
144    FR  1-1-2013   67.5
145    FR  1-6-2013   68.2
146    FR  1-1-2015   68.9
147    FR  1-6-2015   70.8
148    FR  1-1-2017   72.6
149    FR  1-6-2017   73.6
150    FR  1-1-2019   74.6
151    FR  1-6-2019   74.8
152    FR  1-1-2020   75.1
153    FR  1-6-2020   75.3
154    FR  1-1-2021   75.5
155    FR  1-6-2021   75.3
156    FR  1-1-2022   75.1
157    FR  1-6-2022   75.4
158    FR  1-1-2023   75.7
159    FR  1-6-2023   75.4
160    HR  1-1-2013   52.3
161    HR  1-6-2013   52.4
162    HR  1-1-2015   52.6
163    HR  1-6-2015   52.8
164    HR  1-1-2017   53.1
165    HR  1-6-2017   54.4
166    HR  1-1-2019   55.6
167    HR  1-6-2019   56.8
168    HR  1-1-2020   57.9
169    HR  1-6-2020   58.6
170    HR  1-1-2021   59.2
171    HR  1-6-2021   60.0
172    HR  1-1-2022   60.7
173    HR  1-6-2022   60.7
174    HR  1-1-2023   60.7
175    HR  1-6-2023   60.7
176    IT  1-1-2013   53.3
177    IT  1-6-2013   54.9
178    IT  1-1-2015   56.5
179    IT  1-6-2015   59.3
180    IT  1-1-2017   62.1
181    IT  1-6-2017   62.6
182    IT  1-1-2019   63.0
183    IT  1-6-2019   63.2
184    IT  1-1-2020   63.5
185    IT  1-6-2020   63.6
186    IT  1-1-2021   63.8
187    IT  1-6-2021   64.4
188    IT  1-1-2022   65.0
189    IT  1-6-2022   66.6
190    IT  1-1-2023   68.2
191    IT  1-6-2023   66.6
192    CY  1-1-2013   49.0
193    CY  1-6-2013   49.8
194    CY  1-1-2015   50.6
195    CY  1-6-2015   52.8
196    CY  1-1-2017   55.1
197    CY  1-6-2017   55.7
198    CY  1-1-2019   56.3
199    CY  1-6-2019   56.6
200    CY  1-1-2020   56.9
201    CY  1-6-2020   57.0
202    CY  1-1-2021   57.0
203    CY  1-6-2021   57.2
204    CY  1-1-2022   57.3
205    CY  1-6-2022   59.0
206    CY  1-1-2023   60.7
207    CY  1-6-2023   59.0
208    LV  1-1-2013   55.2
209    LV  1-6-2013   55.7
210    LV  1-1-2015   56.2
211    LV  1-6-2015   57.0
212    LV  1-1-2017   57.9
213    LV  1-6-2017   58.8
214    LV  1-1-2019   59.7
215    LV  1-6-2019   60.2
216    LV  1-1-2020   60.8
217    LV  1-6-2020   61.4
218    LV  1-1-2021   62.1
219    LV  1-6-2021   61.8
220    LV  1-1-2022   61.4
221    LV  1-6-2022   61.4
222    LV  1-1-2023   61.5
223    LV  1-6-2023   61.4
224    LT  1-1-2013   54.9
225    LT  1-6-2013   54.6
226    LT  1-1-2015   54.2
227    LT  1-6-2015   55.5
228    LT  1-1-2017   56.8
229    LT  1-6-2017   56.2
230    LT  1-1-2019   55.5
231    LT  1-6-2019   55.9
232    LT  1-1-2020   56.3
233    LT  1-6-2020   57.4
234    LT  1-1-2021   58.4
235    LT  1-6-2021   59.5
236    LT  1-1-2022   60.6
237    LT  1-6-2022   62.4
238    LT  1-1-2023   64.1
239    LT  1-6-2023   62.4
240    LU  1-1-2013   61.2
241    LU  1-6-2013   63.6
242    LU  1-1-2015   65.9
243    LU  1-6-2015   67.4
244    LU  1-1-2017   69.0
245    LU  1-6-2017   69.1
246    LU  1-1-2019   69.2
247    LU  1-6-2019   69.8
248    LU  1-1-2020   70.3
249    LU  1-6-2020   71.4
250    LU  1-1-2021   72.4
251    LU  1-6-2021   73.0
252    LU  1-1-2022   73.5
253    LU  1-6-2022   74.1
254    LU  1-1-2023   74.7
255    LU  1-6-2023   74.1
256    HU  1-1-2013   52.4
257    HU  1-6-2013   52.1
258    HU  1-1-2015   51.8
259    HU  1-6-2015   51.3
260    HU  1-1-2017   50.8
261    HU  1-6-2017   51.4
262    HU  1-1-2019   51.9
263    HU  1-6-2019   52.4
264    HU  1-1-2020   53.0
265    HU  1-6-2020   53.2
266    HU  1-1-2021   53.4
267    HU  1-6-2021   53.8
268    HU  1-1-2022   54.2
269    HU  1-6-2022   55.8
270    HU  1-1-2023   57.3
271    HU  1-6-2023   55.8
272    MT  1-1-2013   54.4
273    MT  1-6-2013   56.1
274    MT  1-1-2015   57.8
275    MT  1-6-2015   59.0
276    MT  1-1-2017   60.1
277    MT  1-6-2017   61.3
278    MT  1-1-2019   62.5
279    MT  1-6-2019   63.0
280    MT  1-1-2020   63.4
281    MT  1-6-2020   64.2
282    MT  1-1-2021   65.0
283    MT  1-6-2021   65.3
284    MT  1-1-2022   65.6
285    MT  1-6-2022   66.7
286    MT  1-1-2023   67.8
287    MT  1-6-2023   66.7
288    NL  1-1-2013   74.0
289    NL  1-6-2013   74.0
290    NL  1-1-2015   74.0
291    NL  1-6-2015   73.4
292    NL  1-1-2017   72.9
293    NL  1-6-2017   72.5
294    NL  1-1-2019   72.1
295    NL  1-6-2019   73.1
296    NL  1-1-2020   74.1
297    NL  1-6-2020   75.0
298    NL  1-1-2021   75.9
299    NL  1-6-2021   76.6
300    NL  1-1-2022   77.3
301    NL  1-6-2022   77.6
302    NL  1-1-2023   77.9
303    NL  1-6-2023   77.6
304    AT  1-1-2013   58.7
305    AT  1-6-2013   60.0
306    AT  1-1-2015   61.3
307    AT  1-6-2015   62.3
308    AT  1-1-2017   63.3
309    AT  1-6-2017   64.3
310    AT  1-1-2019   65.3
311    AT  1-6-2019   65.9
312    AT  1-1-2020   66.5
313    AT  1-6-2020   67.2
314    AT  1-1-2021   68.0
315    AT  1-6-2021   68.4
316    AT  1-1-2022   68.8
317    AT  1-6-2022   70.0
318    AT  1-1-2023   71.2
319    AT  1-6-2023   70.0
320    PL  1-1-2013   55.5
321    PL  1-6-2013   56.2
322    PL  1-1-2015   56.9
323    PL  1-6-2015   56.8
324    PL  1-1-2017   56.8
325    PL  1-6-2017   56.0
326    PL  1-1-2019   55.2
327    PL  1-6-2019   55.5
328    PL  1-1-2020   55.8
329    PL  1-6-2020   56.2
330    PL  1-1-2021   56.6
331    PL  1-6-2021   57.2
332    PL  1-1-2022   57.7
333    PL  1-6-2022   59.8
334    PL  1-1-2023   61.9
335    PL  1-6-2023   59.8
336    PT  1-1-2013   53.7
337    PT  1-6-2013   54.0
338    PT  1-1-2015   54.4
339    PT  1-6-2015   55.2
340    PT  1-1-2017   56.0
341    PT  1-6-2017   58.0
342    PT  1-1-2019   59.9
343    PT  1-6-2019   60.6
344    PT  1-1-2020   61.3
345    PT  1-6-2020   61.8
346    PT  1-1-2021   62.2
347    PT  1-6-2021   62.5
348    PT  1-1-2022   62.8
349    PT  1-6-2022   65.1
350    PT  1-1-2023   67.4
351    PT  1-6-2023   65.1
352    RO  1-1-2013   50.8
353    RO  1-6-2013   51.0
354    RO  1-1-2015   51.2
355    RO  1-6-2015   51.8
356    RO  1-1-2017   52.4
357    RO  1-6-2017   53.4
358    RO  1-1-2019   54.5
359    RO  1-6-2019   54.4
360    RO  1-1-2020   54.4
361    RO  1-6-2020   54.4
362    RO  1-1-2021   54.5
363    RO  1-6-2021   54.1
364    RO  1-1-2022   53.7
365    RO  1-6-2022   54.9
366    RO  1-1-2023   56.1
367    RO  1-6-2023   54.9
368    SI  1-1-2013   62.7
369    SI  1-6-2013   64.4
370    SI  1-1-2015   66.1
371    SI  1-6-2015   67.2
372    SI  1-1-2017   68.4
373    SI  1-6-2017   68.4
374    SI  1-1-2019   68.3
375    SI  1-6-2019   68.0
376    SI  1-1-2020   67.7
377    SI  1-6-2020   67.6
378    SI  1-1-2021   67.6
379    SI  1-6-2021   67.6
380    SI  1-1-2022   67.5
381    SI  1-6-2022   68.4
382    SI  1-1-2023   69.4
383    SI  1-6-2023   68.4
384    SK  1-1-2013   53.0
385    SK  1-6-2013   52.7
386    SK  1-1-2015   52.4
387    SK  1-6-2015   52.4
388    SK  1-1-2017   52.4
389    SK  1-6-2017   53.2
390    SK  1-1-2019   54.1
391    SK  1-6-2019   54.8
392    SK  1-1-2020   55.5
393    SK  1-6-2020   55.8
394    SK  1-1-2021   56.0
395    SK  1-6-2021   56.0
396    SK  1-1-2022   56.0
397    SK  1-6-2022   57.6
398    SK  1-1-2023   59.2
399    SK  1-6-2023   57.6
400    FI  1-1-2013   73.1
401    FI  1-6-2013   73.8
402    FI  1-1-2015   74.4
403    FI  1-6-2015   73.7
404    FI  1-1-2017   73.0
405    FI  1-6-2017   73.2
406    FI  1-1-2019   73.4
407    FI  1-6-2019   74.1
408    FI  1-1-2020   74.7
409    FI  1-6-2020   75.0
410    FI  1-1-2021   75.3
411    FI  1-6-2021   75.4
412    FI  1-1-2022   75.4
413    FI  1-6-2022   74.9
414    FI  1-1-2023   74.4
415    FI  1-6-2023   74.9
416    SE  1-1-2013   80.1
417    SE  1-6-2013   79.9
418    SE  1-1-2015   79.7
419    SE  1-6-2015   81.2
420    SE  1-1-2017   82.6
421    SE  1-6-2017   83.1
422    SE  1-1-2019   83.6
423    SE  1-6-2019   83.7
424    SE  1-1-2020   83.8
425    SE  1-6-2020   83.8
426    SE  1-1-2021   83.9
427    SE  1-6-2021   83.9
428    SE  1-1-2022   83.9
429    SE  1-6-2022   83.1
430    SE  1-1-2023   82.2
431    SE  1-6-2023   83.1
