group,variable,value
BE,1-1-2013,69.3
BE,1-1-2015,70.2
BE,1-1-2017,70.5
BE,1-1-2019,71.1
BE,1-1-2020,71.4
BE,1-1-2021,72.7
BE,1-1-2022,74.2
BE,1-1-2023,76.0
BG,1-1-2013,55.0
BG,1-1-2015,56.9
BG,1-1-2017,58.0
BG,1-1-2019,58.8
BG,1-1-2020,59.6
BG,1-1-2021,59.9
BG,1-1-2022,60.7
BG,1-1-2023,65.1
CZ,1-1-2013,55.6
CZ,1-1-2015,56.7
CZ,1-1-2017,53.6
CZ,1-1-2019,55.7
CZ,1-1-2020,56.2
CZ,1-1-2021,56.7
CZ,1-1-2022,57.2
CZ,1-1-2023,57.9
DK,1-1-2013,75.2
DK,1-1-2015,75.6
DK,1-1-2017,76.8
DK,1-1-2019,77.5
DK,1-1-2020,77.4
DK,1-1-2021,77.8
DK,1-1-2022,77.8
DK,1-1-2023,77.8
DE,1-1-2013,62.6
DE,1-1-2015,64.9
DE,1-1-2017,65.5
DE,1-1-2019,66.9
DE,1-1-2020,67.5
DE,1-1-2021,68.6
DE,1-1-2022,68.7
DE,1-1-2023,70.8
EE,1-1-2013,53.4
EE,1-1-2015,53.5
EE,1-1-2017,56.7
EE,1-1-2019,59.8
EE,1-1-2020,60.7
EE,1-1-2021,61.6
EE,1-1-2022,61.0
EE,1-1-2023,60.2
IE,1-1-2013,65.4
IE,1-1-2015,67.7
IE,1-1-2017,69.5
IE,1-1-2019,71.3
IE,1-1-2020,72.2
IE,1-1-2021,73.1
IE,1-1-2022,74.3
IE,1-1-2023,73.0
EL,1-1-2013,48.6
EL,1-1-2015,50.1
EL,1-1-2017,50.0
EL,1-1-2019,51.2
EL,1-1-2020,52.2
EL,1-1-2021,52.5
EL,1-1-2022,53.4
EL,1-1-2023,58.0
ES,1-1-2013,66.4
ES,1-1-2015,67.4
ES,1-1-2017,68.3
ES,1-1-2019,70.1
ES,1-1-2020,72.0
ES,1-1-2021,73.7
ES,1-1-2022,74.6
ES,1-1-2023,76.4
FR,1-1-2013,67.5
FR,1-1-2015,68.9
FR,1-1-2017,72.6
FR,1-1-2019,74.6
FR,1-1-2020,75.1
FR,1-1-2021,75.5
FR,1-1-2022,75.1
FR,1-1-2023,75.7
HR,1-1-2013,52.3
HR,1-1-2015,52.6
HR,1-1-2017,53.1
HR,1-1-2019,55.6
HR,1-1-2020,57.9
